asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt,
B08TRN7KJ2,"Biotin & Collagen Peptides Gummies - 50,000mcg Collagen + 10,000mcg Biotin | Hair, Skin & Nails Support for Men & Women | Hair Growth, Glowing Skin & Strong Nails | Non-GMO, Chewable, Great-Tasting",$19.99,4.5,694,USA,Health & Household,18097,Vitamin B7 Supplements,72,,,2,1,FBA,"$33,758.41","1,689",https://www.amazon.com/dp/B08TRN7KJ2,https://m.media-amazon.com/images/I/81+rboTvvgL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.045Z,128
B082P54Y2Q,"Multi Collagen Hydrolyzed Protein Powder (16oz) - Types I, II, III, V & X - Grass Fed Bovine (Peptan®), Wild Caught Marine, Free Roaming Chicken & Eggshell Collagen Peptides, Non-GMO, GF.",$19.99,4.6,432,USA,Health & Household,17904,Collagen Supplements,195,,,1,1,FBA,"$28,955.90","1,449",https://www.amazon.com/dp/B082P54Y2Q,https://m.media-amazon.com/images/I/71Kkv4ED-OL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.046Z,129
B0B39K9YC1,"Now Foods Supplements, Multi Collagen Protein Types I, II & III Powder, Bone, Joint, and Skin Health, 16 oz (454 g)",$28.20,4.3,390,Amazon,Health & Household,20378,Collagen Supplements,220,,,1,8,AMZ,"$43,589.64","1,546",https://www.amazon.com/dp/B0B39K9YC1,https://m.media-amazon.com/images/I/71jtfGpigDL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.046Z,130
B0DCXLFLQ1,"NEW AGE Biotin Collagen Keratin Hyaluronic Acid - 50,000mcg Hair Growth Vitamins for Men and Women, Nails, Hair, Skin Vitamins and DHT Blocker with Vitamin E Folic Acid Pumpkin Seed MSM- 180 Count",$34.95,4.5,919,USA,Health & Household,14584,Vitamin B7 Supplements,60,,,3,1,FBA,"$89,582.00","2,566",https://www.amazon.com/dp/B0DCXLFLQ1,https://m.media-amazon.com/images/I/81m-KrBCa0L._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.047Z,131
B0145N1HH2,"Vital Proteins Unflavoured Collagen Peptides, 567 GR",$37.99,4.6,7300,USA,Health & Household,21932,Collagen Supplements,236,,,1,19,FBA,"$76,473.14","1,984",https://www.amazon.com/dp/B0145N1HH2,https://m.media-amazon.com/images/I/716UQxBK1tL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.047Z,132
B09TH9NS95,"10-N-1 Joint Support Hydrolyzed Collagen,MSM, Hyaluronic Acid, Glucosamine,Chondroitin & More- Targets Joint Discomfort, Improves Mobility & Flexibility 320 Caps for Men & Women Made in USA",$44.99,4.6,460,USA,Health & Household,20021,Chondroitin & Glucosamine Combination Nutritional Supplements,41,,,1,1,FBA,"$66,344.08","1,475",https://www.amazon.com/dp/B09TH9NS95,https://m.media-amazon.com/images/I/71hq8UeoDYL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.048Z,133
B013A4D5AY,Verisol Collagen Bioactive Peptides (Natural Collagen Powder) Made in Germany,$25.99,4.6,2700,USA,Health & Household,11748,Collagen Supplements,113,,,2,1,FBA,"$109,476.00","3,369",https://www.amazon.com/dp/B013A4D5AY,https://m.media-amazon.com/images/I/61+tnQQbe+S._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.048Z,134
B079LXSGPL,"BioOptimal Collagen Peptides Powder - Grass-Fed, Pasture-Raised Hydrolyzed Protein Supplement for Skin, Hair, & Nails - Non-GMO, Zero Sugar Daily Supplement for Men & Women (45 Servings)",$36.99,4.5,8500,USA,Health & Household,12306,Collagen Supplements,120,,,3,1,FBA,"$89,576.68","2,653",https://www.amazon.com/dp/B079LXSGPL,https://m.media-amazon.com/images/I/81xyIcSJJPL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.049Z,135
B0CSFTSSR8,"Sugar Free Collagen Gummies for Women, Collagen Protein Type I,II,III,V,X with Biotin Vitamin C D B12, Hydrolyzed Collagen Peptides Gummies for Immune Digestion Skin Hair Nails Energy Bone",$29.99,4.5,579,China,Health & Household,18966,Collagen Supplements,204,,,2,1,FBA,"$47,106.48","1,598",https://www.amazon.com/dp/B0CSFTSSR8,https://m.media-amazon.com/images/I/71rmoXAfZjL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.049Z,136
B001FFCG38,NeoCell Marine Collagen Peptides Capsules | 120 Pills | with Hyaluronic Acid | Plus Vitamin C | for Women and Men,$16.99,4.5,3600,USA,Health & Household,21021,Collagen Supplements,227,Sales & Deals,1815,1,3,FBA,"$22,247.69","1,489",https://www.amazon.com/dp/B001FFCG38,https://m.media-amazon.com/images/I/61gZXxrU9KL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.050Z,137
B08637KVGC,"Puori Pure Collagen Peptides Powder, Unflavored - 10g of Grass-Fed Hydrolyzed Bovine Collagen Supports Skin Health, Hair & Nail Strength, Joint Pain & Mobility Support - 30 Servings",$35.00,4.5,432,USA,Health & Household,19926,Collagen Supplements,215,,,1,2,FBA,"$49,688.24","1,420",https://www.amazon.com/dp/B08637KVGC,https://m.media-amazon.com/images/I/61zGWQ83hEL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.050Z,138
B0CVCJXBQY,"SkinnyFit - Super Youth Collagen for Women - Multi Collagen Peptides Powder - Probiotics, Fiber, Hyaluronic Acid - Non GMO, Gluten Free, Sugar Free - Beauty & Self Care - Tropical Punch (28 Servings)",$79.96,4.1,7200,USA,Health & Household,7906,Collagen Supplements,73,,,5,1,FBA,"$379,435.68","4,745",https://www.amazon.com/dp/B0CVCJXBQY,https://m.media-amazon.com/images/I/81-YwdQs6CL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.051Z,139
B07F6MWRRJ,Keto Collagen Protein Powder with MCT Oil – Keto and Paleo Friendly Grass Fed and Pasture Raised Hydrolyzed Collagen Peptides – Fits Low Carb Diet and Keto Snacks – KEYTO Chocolate Flavor,$32.47,4.4,7400,USA,Health & Household,10580,Collagen Supplements,105,,,3,1,FBA,"$111,554.38","3,418",https://www.amazon.com/dp/B07F6MWRRJ,https://m.media-amazon.com/images/I/71St9e6jeKL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.051Z,140
B06XRC3B6M,"Vital Proteins Collagen Peptide Protein Powder, 10 OZ",$21.02,4.7,1900,Unknown,Health & Household,220130,Collagen Supplements,1555,,,1,4,MERCH,"$1,303.58",46,https://www.amazon.com/dp/B06XRC3B6M,https://m.media-amazon.com/images/I/81RqMf69ZnL._AC_UL320_.jpg,FALSE,FALSE,3,2026-01-27T16:18:00.052Z,141
B07PR64C8F,Sunwarrior Vegan Collagen Building Powder Protein Peptide with Biotin Vitamin C Hyaluronic Acid for Hair Skin Nail Dairy Free Gluten Free | Chocolate,$28.49,4.2,6900,USA,Health & Household,8288,Silica Mineral Supplements,2,,,9,2,FBA,"$173,982.59","4,440",https://www.amazon.com/dp/B07PR64C8F,https://m.media-amazon.com/images/I/71djIyZztvL._AC_UL320_.jpg,FALSE,FALSE,3,2026-01-27T16:18:00.053Z,142
B0CSJ88YKJ,"HEARTHY FOODS Marine Collagen Powder 16 Oz - Sourced from Wild-Caught Fish, Pescatarian Friendly, Keto Certified & Non-GMO Verified - Easy to Mix in Water - 45 Servings",$14.99,4.4,238,USA,Health & Household,19603,Collagen Supplements,213,,,1,1,FBA,"$19,652.96","1,136",https://www.amazon.com/dp/B0CSJ88YKJ,https://m.media-amazon.com/images/I/71KZwuURbAL._AC_UL320_.jpg,TRUE,FALSE,3,2026-01-27T16:18:00.053Z,143
