asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,Revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt,
B0DXSV4HG5,"WPW 620ml Large Upgraded 8-in-1 Fire Extinguisher for Home with Wall Mount Portable Fire Extinguisher For Vehicle Car Boat Kitchen Emergency Supplies, Water-Based Solution For A, B, C, K Fire (2 Pack)",26.99,4.6,368,China,Tools & Home Improvement,53608,Fire Extinguishers,61,,,3,2,FBA,18843.61,713,https://www.amazon.com/dp/B0DXSV4HG5,https://m.media-amazon.com/images/I/712Dw5S-hWL._AC_UL320_.jpg,false,false,7,2026-01-28T12:10:41.650Z,
B0CDLJLPX2,"3 Pack Combination Smoke and Carbon Monoxide Detector Alarm, HATHEPHS 10-Year Battery Dual Sensor Fire & CO Alarm with Large Test/Silence Button, Adhesive & Screws Included",69.99,4.4,529,China,Tools & Home Improvement,14112,Smoke & Carbon Monoxide Alarms,50,,,5,1,FBA,57673.51,779,https://www.amazon.com/dp/B0CDLJLPX2,https://m.media-amazon.com/images/I/71HNqAI1rhL._AC_UL320_.jpg,true,false,7,2026-01-28T12:10:41.650Z,
B0FQJ5ZJS3,"Smoke Detector, Battery-Powered Fire Alarm with LED Indicator, Portable Smoke Alarm for Home Kitchen Bedroom Safety, 4 Packs",29.99,5,1,China,Tools & Home Improvement,58013,Smoke Detectors & Fire Alarms,81,,,7,1,FBA,2255.76,75,https://www.amazon.com/dp/B0FQJ5ZJS3,https://m.media-amazon.com/images/I/61PunXapWmL._AC_UL320_.jpg,false,false,7,2026-01-28T12:10:41.650Z,
B0DPMM2Q6V,25 Sets Metal Inspection Tags Safety Inspection Tags Fire Extinguisher Inspection Sticker 2.2X3inch Fire Extinguisher Inspection Record Tag 2025-2028 with Handheld Hole Puncher for Indoor Outdoor (25),14.99,4.9,24,China,Tools & Home Improvement,81887,Fire Extinguishers,80,,,2,1,FBA,2732.55,161,https://www.amazon.com/dp/B0DPMM2Q6V,https://m.media-amazon.com/images/I/81VjownL+7L._AC_UL320_.jpg,true,false,7,2026-01-28T12:10:41.651Z,
B001U0PFIQ,"Kidde Fire Extinguisher Mount, Metal Strap Bracket, Heavy Duty, Compatible 5-Pound Fire Extinguishers, Black",11.99,4,339,Unknown,Tools & Home Improvement,74538,Fire Extinguisher Mounts & Brackets,33,,,2,7,AMZ,1689.49,139,https://www.amazon.com/dp/B001U0PFIQ,https://m.media-amazon.com/images/I/51umGDpKEBL._AC_UL320_.jpg,true,false,7,2026-01-28T12:10:41.651Z,
B0CLVR6YJK,"First Alert Interconnect Hardwire Dual Sensor Smoke Alarm with Battery Backup, SM300-AC, 3-Pack",102.65,4.4,110,Unknown,Tools & Home Improvement,23511,Smoke Detectors & Fire Alarms,48,,,3,4,FBA,72597.32,761,https://www.amazon.com/dp/B0CLVR6YJK,https://m.media-amazon.com/images/I/711-dZiiVrL._AC_UL320_.jpg,true,false,7,2026-01-28T12:10:41.651Z,
B0F24ZHMC9,"LIFEGUARD Aerosol Fire Extinguisher Spray - Non-Toxic, Eco-Friendly Fire Suppressant for Home, Kitchen, Car & Office, Compact, Easy-to-Use Design with 10-Year Shelf Life (Pack of 1)",14.99,4.5,36,USA,Tools & Home Improvement,36138,Fire Extinguishers,46,,,3,1,FBA,3406.24,164,https://www.amazon.com/dp/B0F24ZHMC9,https://m.media-amazon.com/images/I/41uD-C52usL._AC_UL320_.jpg,true,false,7,2026-01-28T12:10:41.652Z,
B0DLKP9JH6,"Smoke Alarm 2 Pack,Smoke Detector for Home with Test Button & Silence Button,Fire Alarm with LED Indicator,Ionization Smoke Alarm Battery Operated",15.99,4,54,China,Tools & Home Improvement,82599,Smoke Detectors & Fire Alarms,97,,,1,1,FBA,3677.94,230,https://www.amazon.com/dp/B0DLKP9JH6,https://m.media-amazon.com/images/I/61ysg8EkvTL._AC_UL320_.jpg,true,false,7,2026-01-28T12:10:41.652Z,
B009WUH2XW,"Buckeye 50000 Stainless Steel Water Pressurized Hand Held Fire Extinguisher with Wall Hook, 2.5 Gallon Agent Capacity, 7"" Diameter x 9"" Width x 24-1/2"" Height",158.95,4.6,221,USA,Tools & Home Improvement,72195,Fire Extinguishers,72,,,3,8,FBA,21987.29,137,https://www.amazon.com/dp/B009WUH2XW,https://m.media-amazon.com/images/I/51cxD6pg-yL._AC_UL320_.jpg,false,false,7,2026-01-28T12:10:41.652Z,
B0CCJ3QZSR,Reveal Fire Extinguisher Set -Gender Reveal Color Smoke Powder Spray - 100% Biodegradable Party Supplies- For Memorable Baby Gender Reveal Decorations & Ideas(Pink),16.99,4.6,691,USA,Tools & Home Improvement,37286,Fire Extinguishers,48,,,4,2,FBA,5688.73,326,https://www.amazon.com/dp/B0CCJ3QZSR,https://m.media-amazon.com/images/I/713fjkSJETL._AC_UL320_.jpg,true,false,7,2026-01-28T12:10:41.653Z,
B009WUG2RO,"Buckeye 13315 ABC Multipurpose Dry Chemical Hand Held Fire Extinguisher with Aluminum Valve and Vehicle Bracket, 2.5 lbs Agent Capacity",44.97,4.6,397,USA,Tools & Home Improvement,76476,Fire Extinguishers,77,,,1,15,FBA,6397.8,138,https://www.amazon.com/dp/B009WUG2RO,https://m.media-amazon.com/images/I/611tZKmPRXL._AC_UL320_.jpg,true,false,7,2026-01-28T12:10:41.653Z,
B0F6ZMRB4K,"First Alert SM300-AC, Interconnect Hardwire Dual Sensor Smoke Alarm with Battery Backup, 1-Pack",40.48,4.1,17,Unknown,Tools & Home Improvement,79949,Smoke Detectors & Fire Alarms,97,,,1,3,FBA,3877.84,96,https://www.amazon.com/dp/B0F6ZMRB4K,https://m.media-amazon.com/images/I/71uIDam7eDL._AC_UL320_.jpg,true,false,7,2026-01-28T12:10:41.653Z,
B01HDYA9BK,"Amerex B240 Stored Pressure Water Fire Extinguisher, 2.5 Gallon for Class A Fires",160.99,4.7,175,USA,Tools & Home Improvement,74331,Fire Extinguishers,74,,,1,8,MERCH,21781.82,127,https://www.amazon.com/dp/B01HDYA9BK,https://m.media-amazon.com/images/I/51+IIGZGfVL._AC_UL320_.jpg,false,false,7,2026-01-28T12:10:41.654Z,
B09PQSJ3FP,4098-9714 Detector,30,4.5,58,USA,Tools & Home Improvement,53174,Smoke Detectors & Fire Alarms,78,,,1,9,FBA,4345.29,161,https://www.amazon.com/dp/B09PQSJ3FP,https://m.media-amazon.com/images/I/416Sh6roLpL._AC_UL320_.jpg,true,false,7,2026-01-28T12:10:41.654Z,
B0FPVTRVS3,"2 Pack ABC Dry Chemical Fire Extinguishers, 2.5 lb 1A:10B:C Rating for Home, Vehicle, Boat, Quick Release Handle, Compact & Portable Dry Powder Extinguisher",56.99,4.5,21,China,Tools & Home Improvement,55322,Fire Extinguishers,62,,,3,1,FBA,21470.44,325,https://www.amazon.com/dp/B0FPVTRVS3,https://m.media-amazon.com/images/I/71h47OX+R0L._AC_UL320_.jpg,true,false,7,2026-01-28T12:10:41.655Z,
B0FNKFQDHL,"Smoke and Carbon Monoxide Detector with Digital Display, 10-Year Lifespan with Replaceable Lithium Battery, Photoelectric Fire Alarm and Electrochemical CO Alarm with Test/Silence Button, 2 Pack",51.99,4.9,19,China,Tools & Home Improvement,76747,Smoke & Carbon Monoxide Alarms,107,,,6,1,FBA,8082.79,155,https://www.amazon.com/dp/B0FNKFQDHL,https://m.media-amazon.com/images/I/61Mgm72FDVL._AC_UL320_.jpg,true,false,7,2026-01-28T12:10:41.655Z,
B0C1TMLRZ1,Amerex C262 Class K Fire Extinguisher for Kitchen Use,271.99,5,5,USA,Tools & Home Improvement,239795,Fire Extinguishers,159,,,1,1,MERCH,13878.5,51,https://www.amazon.com/dp/B0C1TMLRZ1,https://m.media-amazon.com/images/I/51haRjsz1eL._AC_UL320_.jpg,false,true,7,2026-01-28T12:10:41.655Z,
B0BZS452J4,"Fire Extinguisher Metal Bracket, Heavy Duty,Compatible with 5-Pound Fire Extinguishers (5LB 4PCS)",85.99,4.6,198,China,Tools & Home Improvement,34824,Fire Extinguisher Mounts & Brackets,13,,,7,1,FBA,6561.02,253,https://www.amazon.com/dp/B0BZS452J4,https://m.media-amazon.com/images/I/61ZpYMAOL9L._AC_UL320_.jpg,true,true,7,2026-01-28T12:10:41.656Z,
