asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B00VQI9ITE","MET-Rx Big 100 Protein Bar, Meal Replacement Bar, 32G Protein, Super Cookie Crunch, 3.52 Oz (Pack of 9)","$27.09","4.5","13443","","Health & Household","1042","Sports Nutrition Protein Bars","9","Sales & Deals","254","11","16","AMZ","$619,090.88","22,780","https://www.amazon.com/dp/B00VQI9ITE","https://images-na.ssl-images-amazon.com/images/I/71VWBOcO7OL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.119Z"
"B06XHSZHL1","Quest Nutrition Peanut Butter Cups, 11g Protein, 1g Sugar, Low Carb, Gluten Free, Keto Friendly, 12 Count","$19.96","4.5","21245","","Health & Household","1051","Sports Nutrition Protein Bars","10","","","3","3","AMZ","$333,266.85","18,172","https://www.amazon.com/dp/B06XHSZHL1","https://images-na.ssl-images-amazon.com/images/I/813SRRvtHXL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.121Z"
"B09QHBBGJT","CLIF BUILDERS Protein Bars - Chocolate Peanut Butter Flavor - 20g Plant Based Protein - Gluten Free - Non-GMO - Low Glycemic - No Artificial Sweeteners - Value Pack, 2.4 oz. (12 Count)","$19.98","4.5","3878","","Health & Household","1538","Sports Nutrition Protein Bars","11","","","2","5","AMZ","$272,607.20","14,831","https://www.amazon.com/dp/B09QHBBGJT","https://images-na.ssl-images-amazon.com/images/I/81KOClHjXDL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.122Z"
"B0CVNCJKJJ","ONE Protein Bars, Reese's Peanut Butter Lovers, Gluten Free with 18g Protein and 3g Sugar, Pantry Staples, 2.12 oz (12 Count)","$24.99","4.4","2696","","Health & Household","1572","Sports Nutrition Protein Bars","12","Sports Nutrition Protein","45","2","4","AMZ","$464,754.55","19,086","https://www.amazon.com/dp/B0CVNCJKJJ","https://images-na.ssl-images-amazon.com/images/I/71vyvTG0JdL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.123Z"
"B0FPPH431J","Pure Protein Fruity PEBBLES™ Protein Bars – 20g Protein, 3g Sugar, 190 Calories (4 count) Low Sugar* High Protein Snack – Gluten Free - Perfect for a Healthy Snack.","$4.97","4.1","1055","","Health & Household","1580","Sports Nutrition Protein Bars","13","Sports Nutrition Protein","46","5","1","AMZ","$128,871.93","23,992","https://www.amazon.com/dp/B0FPPH431J","https://images-na.ssl-images-amazon.com/images/I/81Se0F3ulSL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.125Z"
"B000FRXJ6A","Power Crunch Protein Wafer Bars, High Protein Snacks with Delicious Taste, Peanut Butter Fudge, 1.4 Ounce (12 Count)","$16.01","4.6","12307","","Health & Household","1795","Sports Nutrition Protein Bars","14","Sales & Deals","503","4","14","AMZ","$251,294.52","15,066","https://www.amazon.com/dp/B000FRXJ6A","https://images-na.ssl-images-amazon.com/images/I/81oMQQZqtYL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.126Z"
"B0DS6N8CY8","Quest Nutrition Overload Protein Bars, Cookie Commotion, 20g Protein, 1g Sugar, 3g Net Carbs, Gluten Free, 12 Count","$22.37","4.6","1098","","Health & Household","2029","Sports Nutrition Protein Bars","15","Sports Nutrition Protein","62","3","1","AMZ","$320,922.69","14,648","https://www.amazon.com/dp/B0DS6N8CY8","https://images-na.ssl-images-amazon.com/images/I/81NbVcCGlLL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.127Z"
"B0CB4MDD2S","TRUBAR Vegan Protein Bar, Get In My Belly Pb & Jelly, Gluten Free, Plant Based, High Fiber, Dairy Free, Low Fat, Non GMO, No Sugar Alcohols, 12G Lean Protein, 13G Fiber, Healthy Snack Bars, 12 CT","$29.99","4.2","4414","","Health & Household","2106","Sports Nutrition Protein Bars","16","","","16","1","FBA","$737,027.62","25,158","https://www.amazon.com/dp/B0CB4MDD2S","https://images-na.ssl-images-amazon.com/images/I/618NH5s6xxL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.129Z"
"B07V7HKP8N","NuGo Dark Chocolate Pretzel and Sea Salt, 12g Protein Bar, Vegan, Gluten Free, Non-GMO, Kosher Pareve, 24 Count","$38.74","4.6","6970","","Health & Household","2297","Sports Nutrition Protein Bars","19","Sports Nutrition Protein","98","17","1","AMZ","$581,306.74","15,265","https://www.amazon.com/dp/B07V7HKP8N","https://images-na.ssl-images-amazon.com/images/I/81OsjuUmdvL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.130Z"
"B0BZDZ8CD5","Atkins Caramel Chocolate Nut Roll Snack Bar, Protein Snack , 7g Protein, 2g Sugar, High Fiber Snack, 16 Count","$20.10","4.6","3892","","Health & Household","2256","Sports Nutrition Protein Bars","16","","","2","7","AMZ","$284,530.61","13,424","https://www.amazon.com/dp/B0BZDZ8CD5","https://images-na.ssl-images-amazon.com/images/I/81Hw11gPrPL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.131Z"
"B0D4RW2P5W","CLIF Kid Zbar Protein - Cookies 'N Creme - Crispy Snack Bars - Made with Organic Oats - Non-GMO - 5g Protein - Gluten Free Protein Bars (15 Pack)","$13.24","4.7","637","","Health & Household","2294","Sports Nutrition Protein Bars","18","Sports Nutrition Protein","71","1","3","AMZ","$172,108.03","12,814","https://www.amazon.com/dp/B0D4RW2P5W","https://images-na.ssl-images-amazon.com/images/I/81puXrsvGyL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.132Z"
"B0DHG7N2CK","PRIMA ANCESTRAL PROTEIN BAR Grass Fed Protein Bars, 7 Pack – Animal-Based Protein Bar with Beef Tallow, Raw Honey, Seed Oil Free, Low Carb, Gluten-Free – Healthy, Energy Snacks for Clean Lifestyle (7 Pack, Salted Caramel)","$16.76","3.3","1466","","Health & Household","2453","Sports Nutrition Protein Bars","20","Sports Nutrition Protein","75","5","3","FBA","$242,630.62","11,482","https://www.amazon.com/dp/B0DHG7N2CK","https://images-na.ssl-images-amazon.com/images/I/71OY27iHcqL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.133Z"
