asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B0F3QKYM9J","GLP-1 Supplement for Weight Loss & Appetite Control for Men and Women with Akkermansia, Berberine, Inulin, EGCG, Resveratrol, Hops - Supports Digestion, Cravings | 7-Keto Nutritional Supplement","$39.95","4.1","863","USA","Health & Household","2067","Green Tea Herbal Supplements","2","","","1","1","FBA","$648,059.48","16,203","https://www.amazon.com/dp/B0F3QKYM9J","https://m.media-amazon.com/images/I/71johHJ-o2L._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.204Z"
"B0F1DRXXKR","Everyday Dose Bold Medium Roast Mushroom Coffee 90mg Caffeine per serving with Grass-Fed Collagen, Chaga, Lions Mane & L-Theanine for Better Focus, Energy, Digestion, Skin, and Immunity 30 Servings","$39.99","4.4","10000","USA","Health & Household","573","Mushrooms Herbal Supplements","2","","","2","1","FBA","$1,020,487.58","26,665","https://www.amazon.com/dp/B0F1DRXXKR","https://m.media-amazon.com/images/I/714-2l-2MFL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.204Z"
"B0DYBHFBH8","SmartyPants Toddler Multivitamin Gummies - Improved Formula: Omega 3 (DHA/EPA), Vitamins D3, C, Vitamin B12, B6, A, K & Zinc, Biotin, Gluten Free, Three Fruit Flavors, 60 Count (30 Day Supply)","$16.99","4.7","11600","Amazon","Health & Household","1861","Children's Vitamins","10","Multivitamins","56","3","3","AMZ","$328,243.04","17,662","https://www.amazon.com/dp/B0DYBHFBH8","https://m.media-amazon.com/images/I/718McJKePxL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.205Z"
"B0FCPD8F7J","Gruns Adults Super Greens Gummies, Multivitamin Superfood Gummy Bears, Spirulina, Chlorella, Prebiotics & Fiber Gummies for Digestive Health, Adaptogens Supplement, 20 Vitamins & Minerals, 10 Count","$33.99","4.1","964","USA","Health & Household","1597","Chlorella Herbal Supplements","1","","","2","1","FBA","$561,463.29","17,505","https://www.amazon.com/dp/B0FCPD8F7J","https://m.media-amazon.com/images/I/81Qkf+vz4lL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.205Z"
"B0F5692W7S","NeoCell Collagen Bio-Peptides Powder | 22oz | Super Hair, Skin, and Nails | Superior Absorption | Grassfed Protein Supplement | Advanced with 18 Essential Amino Acids","$31.99","4.6","586","USA","Health & Household","2458","Collagen Supplements","26","","","2","1","FBA","$342,767.49","12,249","https://www.amazon.com/dp/B0F5692W7S","https://m.media-amazon.com/images/I/61d28lL2ZIL._AC_UL320_.jpg","false","false","1","2026-01-27T22:54:42.205Z"
"B0FC7VDL9R","Ritual Multivitamin for Women 18+ with Vitamin D3 for Immune Support*, Vegan Omega 3 DHA, B12, Iron, Gluten Free, Non GMO, USP Verified, Citrus, 30 Day Supply, 60 Capsules","$27.29","4.3","4500","USA","Health & Household","801","Multivitamins","14","","","2","1","FBA","$937,098.00","30,112","https://www.amazon.com/dp/B0FC7VDL9R","https://m.media-amazon.com/images/I/715dMelRNkL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.206Z"
"B0FH616DNQ","Organics Ocean Better D3 + K2-100% Organic VIT D3 and K2 Supplements with Maximum Bioavailability - Supports Bone Density, Calcium Balance, Immunity & Mood - 1-Pack, 30-Day Supply","$34.99","4.6","489","USA","Health & Household","2596","Multivitamins","62","","","2","2","FBA","$342,295.31","9,827","https://www.amazon.com/dp/B0FH616DNQ","https://m.media-amazon.com/images/I/61gP+U+2OnL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.206Z"
"B0FSG4V4H8","Ultra Focus Pouches (Variety Pack, 3 Cans) Nicotine-Free, Caffeine-Free | Enfinity Paraxanthine | Vitamin B6 + B12, L-Theanine, Alpha GPC, Ginseng | Nootropic Energy & Clarity Plant-Based Pouches","$45.00","3.2","171","USA","Health & Household","1856","Blended Vitamin & Mineral Supplements","23","","","4","2","MERCH","$677,548.94","15,057","https://www.amazon.com/dp/B0FSG4V4H8","https://m.media-amazon.com/images/I/61h57FcfUOL._AC_UL320_.jpg","false","false","1","2026-01-27T22:54:42.207Z"
"B0DX7846R5","HEARTHY FOODS Creatine Monohydrate Micronized Powder 500G - 100 Servings, 5000mg Per Serving (5g) - 17.9 Oz for Men & Women Muscle Growth & Recovery - UNFLAVORED","$10.99","4.7","1300","USA","Health & Household","2684","Creatine Nutritional Supplements","18","","","1","2","FBA","$145,674.64","10,638","https://www.amazon.com/dp/B0DX7846R5","https://m.media-amazon.com/images/I/71ZyH7YILxL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.207Z"
"B0FCYQXQBK","Colon Cleanse + GLP-1 Support Supplement for Weight Loss & Energy - Appetite Suppressant and Fat Burner w Berberine, Yerba Mate, Psyllium Husk, Senna Leaf, Lemon, Black Garlic, Digestive Broom & Flush","$29.95","4.2","514","USA","Health & Household","3576","Triphala Herbal Supplements","1","","","1","1","FBA","$295,597.08","11,405","https://www.amazon.com/dp/B0FCYQXQBK","https://m.media-amazon.com/images/I/711x8ojRnyL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.207Z"
"B0FK1R4GMT","VivoNu Cayenne Pepper Softgels Supplement, Supports Leg Vein, Heart and Blood Vessel Health, with Vitamin E D3+K2 and Extracts of Grape Seed, Hawthorn, Beetroot, Berberine and Other","$26.99","4.3","363","USA","Health & Household","2988","Cayenne Herbal Supplements","2","","","8","1","FBA","$193,533.36","6,453","https://www.amazon.com/dp/B0FK1R4GMT","https://m.media-amazon.com/images/I/71jvyDTAXuL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.208Z"
"B0F46N6TY9","vitafusion GLP-1 Support Multivitamin, Vitamin and Mineral Blend, 15 Essential Nutrients, Citrus Berry Flavor, 90 Count, 45 Day Supply","$8.23","4.6","449","Amazon","Health & Household","2959","Blended Vitamin & Mineral Supplements","41","","","1","1","AMZ","$52,142.51","5,587","https://www.amazon.com/dp/B0F46N6TY9","https://m.media-amazon.com/images/I/71HjLWrp55L._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.208Z"
"B00K5NELJS","Garden of Life Organics Whole Food Multivitamin for Men 40+ 120 Tablets, Vegan Mens Multi for Health & Well-Being Certified Organic Whole Food Vitamins & Minerals for Men Over 40 Mens Vitamins","$68.08","4.7","4500","Unknown","Health & Household","7211","Multivitamins","151","Sales & Deals","857","2","3","MERCH","$291,141.47","5,890","https://www.amazon.com/dp/B00K5NELJS","https://m.media-amazon.com/images/I/81VoFony01L._AC_UL320_.jpg","false","true","1","2026-01-27T22:54:42.209Z"
"B099H6386F","True Grace One Daily Women’s Multivitamin Fermented Minerals, Organic Adaptogens & Mushrooms Whole Body Balance, Immune, Energy, Beauty Support - Non-GMO, Gluten Free, Soy Free - 30 Vegan Tablets","$31.95","4.5","276","USA","Health & Household","50815","Multivitamins","766","","","2","1","FBA","$18,940.35","408","https://www.amazon.com/dp/B099H6386F","https://m.media-amazon.com/images/I/61V54SWqo7L._AC_UL320_.jpg","true","true","1","2026-01-27T22:54:42.209Z"
"B08DL68XZP","SiderAL Forte Iron Supplement Clinically Proven to Increase Levels Without Side Effects | Sucrosomial High Absorption Gentle Iron Pills for Women and Men | Vitamin C | Anemia & Energy Support | 30 ct","$89.00","4.6","1300","USA","Health & Household","12988","Iron Mineral Supplements","63","","","2","1","FBA","$247,557.73","2,782","https://www.amazon.com/dp/B08DL68XZP","https://m.media-amazon.com/images/I/8186M8nqc2L._AC_UL320_.jpg","true","true","1","2026-01-27T22:54:42.210Z"
"B0FS7XMLT7","BIOptimizers Magnesium Breakthrough Supplement with 500mg - 7 Forms of Magnesium: Glycinate, Malate, Citrate, and More - Natural Support for Sleep and Cognitive Function -90 Capsules- Calming Vitamins","$49.99","4.6","16000","USA","Health & Household","79","Magnesium Mineral Supplements","2","","","3","1","FBA","$3,015,666.73","104,743","https://www.amazon.com/dp/B0FS7XMLT7","https://m.media-amazon.com/images/I/71S5JamxeoL._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.896Z"
"B0FWVWZFW1","RYZE SUPERFOODS Mushroom Medium Roast Coffee Starter Kit, USDA Organic Instant Coffee with 6 Adaptogenic Mushrooms and for Energy, Focus, Digestion, Immunity with Lions Mane & Turkey Tail 60 Serving","$74.99","4.3","4200","USA","Health & Household","2029","Mushrooms Herbal Supplements","5","","","4","1","FBA","$435,966.80","6,113","https://www.amazon.com/dp/B0FWVWZFW1","https://m.media-amazon.com/images/I/41Wiiak9uoL._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.896Z"
"B0FFQPKH7Z","THORNE - Ashwagandha - Highly Concentrated Shoden - Calming Stress Support for Women & Men* - Supports Daytime Energy, Mental Clarity & Optimal Immune Function* - 30 Capsules","$22.00","4.6","294","USA","Health & Household","3609","Ashwagandha","9","","","3","1","FBA","$70,662.31","3,248","https://www.amazon.com/dp/B0FFQPKH7Z","https://m.media-amazon.com/images/I/71KrhXxfN5L._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.897Z"
"B0DYJ2L6PF","99.99% Creatine Monohydrate Gummies More 15% Strength, 5X Energy & Muscle Support Pre-Workout Complex Creatine for Women & Men with 5000mg Creatine, L-Taurine, B12, Mg and K, Vegan","$41.59","4.1","574","USA","Health & Household","5265","Creatine Nutritional Supplements","43","","","6","6","FBA","$119,589.69","3,739","https://www.amazon.com/dp/B0DYJ2L6PF","https://m.media-amazon.com/images/I/81M67wC1+oL._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.897Z"
"B0F71N2W5G","Qunol Magnesium Glycinate Gummies, 120mg of Magnesium Glycinate, High Absorption, Mixed Berry, 90 Count (Pack of 1)","$22.09","4.6","683","Amazon","Health & Household","3818","Magnesium Mineral Supplements","87","","","3","1","AMZ","$70,087.26","3,173","https://www.amazon.com/dp/B0F71N2W5G","https://m.media-amazon.com/images/I/716-AUZ2lIL._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.897Z"
