المسعى الدور الأرضي,المسعى الدور الأول,المسعى الدور الثاني,الوقت,حالة المسعى الدور الأرضي,حالة المسعى الدور الأول,حالة المسعى الدور الثاني,حالة سطح المطاف,حالة صحن المطاف,حالة مطاف الدور الأرضي,حالة مطاف الدور الأول,سطح المطاف,صحن المطاف,مطاف الدور الأرضي,مطاف الدور الأول
"55 - 65","35 - 45","35 - 45","2026-02-27T02:18:21.718Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T02:23:22.313Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T02:28:21.720Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T02:33:21.741Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T02:38:22.485Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T02:43:21.762Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T02:48:21.735Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T02:53:22.255Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T02:58:21.802Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T03:03:21.690Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T03:08:22.648Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T03:13:21.703Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T03:18:21.868Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T03:23:22.718Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T03:28:21.817Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T03:33:21.741Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T03:38:22.359Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T03:43:22.677Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T03:48:21.726Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T03:53:22.238Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T03:58:22.529Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T04:03:21.752Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T04:08:22.267Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T04:13:21.794Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T04:18:21.673Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T04:23:22.407Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T04:28:21.749Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T04:33:21.701Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T04:38:22.438Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T04:43:21.763Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T04:48:21.758Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T04:53:22.304Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T04:58:21.716Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T05:03:21.681Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T05:08:22.371Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T05:13:21.801Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T05:18:21.743Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T05:23:22.261Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T05:28:21.737Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T05:33:21.698Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T05:38:22.685Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T05:43:21.726Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T05:48:21.665Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T05:53:22.407Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T05:58:21.813Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T06:03:21.741Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T06:08:22.684Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T06:13:21.801Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T06:18:21.752Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T06:23:22.553Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T06:28:21.919Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T06:33:21.768Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T06:38:22.874Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T06:43:21.729Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T06:48:22.027Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T06:53:22.242Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T06:58:21.780Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T07:03:21.646Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T07:08:22.324Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T07:13:21.713Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T07:18:21.970Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T07:23:22.266Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T07:28:21.743Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"45 - 55","35 - 45","25 - 35","2026-02-27T07:33:21.708Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","70 - 80","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T07:38:22.303Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","35 - 45","35 - 45","2026-02-27T07:43:22.221Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","35 - 45","35 - 45","2026-02-27T07:48:21.778Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","35 - 45","35 - 45","2026-02-27T07:53:22.255Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","35 - 45","35 - 45","2026-02-27T07:58:21.741Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","35 - 45","35 - 45","2026-02-27T08:03:22.097Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","35 - 45","35 - 45","2026-02-27T08:08:22.285Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T08:13:21.761Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T08:18:21.683Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T08:23:22.220Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T08:28:21.796Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T08:33:21.673Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T08:38:22.328Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T08:43:21.867Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T08:48:21.844Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T08:53:22.201Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T08:58:21.728Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T09:03:21.738Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T09:08:22.757Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T09:13:21.734Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T09:18:21.849Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T09:23:22.604Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T09:28:21.998Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T09:33:21.782Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T09:38:22.460Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T09:43:21.780Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T09:48:21.725Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T09:53:22.278Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T09:58:21.812Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T10:03:21.679Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T10:08:22.312Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","47 - 57","47 - 57","2026-02-27T10:13:22.608Z","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","115 - 125","100 - 110"
"55 - 65","35 - 45","35 - 45","2026-02-27T10:18:22.087Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T10:23:22.429Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T10:28:22.375Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T10:33:22.018Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T10:38:22.706Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T10:43:22.111Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T10:48:21.970Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T10:53:22.287Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T10:58:21.769Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","115 - 125","70 - 80"
"55 - 65","35 - 45","35 - 45","2026-02-27T11:03:22.013Z","أحمر","أحمر","أحمر","أخضر","أحمر","أحمر","أحمر","50 - 60","40 - 50","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T11:08:22.514Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T11:13:22.035Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T11:18:21.853Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T11:23:22.391Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T11:28:21.885Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T11:33:21.782Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T11:38:22.455Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T11:43:21.848Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T11:48:21.826Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T11:53:22.369Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T11:58:21.758Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T12:03:21.826Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T12:08:22.846Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T12:13:21.865Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T12:18:21.727Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T12:23:22.661Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T12:28:21.778Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T12:33:21.813Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T12:38:21.981Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T12:43:22.241Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T12:48:21.742Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T12:53:21.957Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T12:58:22.179Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:03:21.581Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:08:22.100Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:13:22.368Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:18:21.811Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:23:21.951Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:28:22.294Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:33:22.293Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:38:21.971Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:43:22.286Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:48:22.040Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:53:21.819Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:58:22.266Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T14:03:21.882Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T14:08:22.133Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
