asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B0CTNXHXM4","Nature Made Zero Sugar Vitamin C Gummies 250 mg Per Serving, Immune & Antioxidant Support, Aspartame Free, 100 Sugar Free Vitamin C Gummies, 50 Day Supply","$9.98","4.4","1800","Amazon","Health & Household","4891","Vitamin C Supplements","43","","","1","7","AMZ","$65,880.50","6,733","https://www.amazon.com/dp/B0CTNXHXM4","https://m.media-amazon.com/images/I/71gBwpGp36L._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.410Z"
"B0000DJAVX","Nature Made Vitamin C 500mg with Rose Hips, Dietary Vitamin C Supplement for Immune Support, 130 Caplets, 130-Day Supply","$8.19","4.7","30700","Amazon","","","","","","","13","19","AMZ","$200,069.54","14,782","https://www.amazon.com/dp/B0000DJAVX","https://m.media-amazon.com/images/I/719jYz57JaL._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.410Z"
"B0BQW7H8VV","Propolis Liposomal Vitamin C by Beekeeper's Naturals, 1000mg Vitamin C, Propolis & Organic Honey, Supercharged Immune Support & Increased Bioavailibity for Max Absorption, 12 Ct","$17.98","4.4","1300","USA","Health & Household","2700","Vitamin C Supplements","23","","","4","1","FBA","$388,503.77","14,342","https://www.amazon.com/dp/B0BQW7H8VV","https://m.media-amazon.com/images/I/61jrCvLOcFL._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.410Z"
"B004X8MJM2","Ester-C 500 mg 24 Hour Vitamin C Tablets for Immune Support, Vitamin C Supplement, 90 Count","$6.97","4.7","8500","Amazon","Health & Household","4567","Vitamin C Supplements","38","","","3","12","AMZ","$58,825.15","8,450","https://www.amazon.com/dp/B004X8MJM2","https://m.media-amazon.com/images/I/612AnwEcnwL._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.411Z"
"B0061GLRN6","Nature’s Bounty Vitamin C 1000mg, Immune Support Supplement, Powerful Antioxidant, 1 Pack, 100 Caplets","","4.7","25600","Unknown","Health & Household","3441","Vitamin C Supplements","30","Diet & Sports Nutrition","652","5","3","AMZ","$215,117.54","14,251","https://www.amazon.com/dp/B0061GLRN6","https://m.media-amazon.com/images/I/71c5U5xHeyL._AC_UL320_.jpg","false","false","2","2026-01-27T23:55:18.411Z"
"B07JH4R881","SOLARAY Vitamin C 1000mg - Time Release Vitamin C Capsules w/Rose HIPS and Acerola for Bioflavonoid Support - Two-Stage, All-Day Immune Support - Vegan, 60 Day Guarantee, 275 Servings, 275 VegCaps","$35.29","4.8","11100","USA","Health & Household","2973","Vitamin C Supplements","27","","","3","5","FBA","$320,352.68","14,063","https://www.amazon.com/dp/B07JH4R881","https://m.media-amazon.com/images/I/610xKdlFvJL._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.412Z"
"B07K8QLGHN","Nutrivein Premium Liposomal Vitamin C Supplement 1650mg - 180 Caps: High-Absorption High Dose Vitamin C Capsules for Whole-Body Defenses & Overall Well-Being","$20.99","4.7","22400","USA","Health & Household","5465","Vitamin C Supplements","45","","","1","2","FBA","$124,689.73","5,940","https://www.amazon.com/dp/B07K8QLGHN","https://m.media-amazon.com/images/I/81f-fAyuZiL._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.412Z"
"B0CBVWPPR9","Nature Made Maximum Strength Dosage Vitamin C 1000mg per Serving, Immune Support Vitamin C Gummies for Adults, 80 Gummies, 20 Day Supply","","4.7","2900","Unknown","Health & Household","5814","Vitamin C Supplements","48","","","2","8","AMZ","$213,495.86","11,177","https://www.amazon.com/dp/B0CBVWPPR9","https://m.media-amazon.com/images/I/81hiG1CinIL._AC_UL320_.jpg","false","false","2","2026-01-27T23:55:18.412Z"
"B0046CD3IO","Emergen-C 1000mg Vitamin C Powder for Daily Immune Support Caffeine Free Vitamin C Supplements with Zinc and Manganese, B Vitamins and Electrolytes, Super Orange Flavor - 10 Count","$5.66","4.8","4700","Amazon","Health & Household","6296","Vitamin C Supplements","55","","","1","4","AMZ","$42,933.49","7,585","https://www.amazon.com/dp/B0046CD3IO","https://m.media-amazon.com/images/I/81KMt5aiJML._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.413Z"
"B09FYHTSNW","THORNE - Vitamin C 1,000 mg (Formerly Ascorbic Acid) Supplement - Supports Healthy Immune Function & Collagen Formation - Provides Antioxidant Support* - Third-Party Certified - 60 Servings","$19.00","4.8","813","USA","Health & Household","5715","Vitamin C Supplements","47","","","2","1","FBA","$100,044.69","5,413","https://www.amazon.com/dp/B09FYHTSNW","https://m.media-amazon.com/images/I/61LFgdcTWYL._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.413Z"
